,presynaptic,postsynaptic,filter reference,dataset reference,sign reference,number cells of presynaptic type,number cells of postsynaptic type
0,R1,L1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
1,R1,L2,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
2,R1,L3,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
3,R1,Am,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
4,R1,T1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
5,R2,L1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
6,R2,L2,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
7,R2,L3,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
8,R2,Am,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
9,R2,T1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
10,R3,L1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
11,R3,L2,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
12,R3,L3,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
13,R3,Am,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
14,R3,T1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
15,R4,L1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
16,R4,L2,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
17,R4,L3,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
18,R4,Am,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
19,R4,T1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
20,R5,L1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
21,R5,L2,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
22,R5,L3,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
23,R5,Am,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
24,R5,T1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
25,R6,L1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
26,R6,L2,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
27,R6,L3,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
28,R6,Am,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
29,R6,T1,Rivera-Alba et al. 2011,-,Hardie 1989,-,-
